,key,Inclusion decision,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
4869,rayyan-1101986634,Include,New insights into the status of the Hawaiian Petrel on Kauai,1997.0,1,1,,0738-6028,20.0,1.0,24-30,"Ainley, DG and Podolsky, R and DeForest, L and Spencer, G",,,,,"We present new information, on the basis of observations and an analysis of existing but unpublished data, regarding the present status of the Hawaiian Petrel on Kauai. A consistently used rafting area just offshore of Hanalei, on the north shore of Kauai, is described for the first time. Observations made there in June and July 1993 and 1994, indicate that the population frequenting breeding colonies, on the order of >1000 birds per night during the peak of the visitation cycle, is much larger than previously thought. In contrast, few sigh tings of this species were made elsewhere around the island. Corroborating these observations were records collected by state and federal biologists on fledglings attracted to lights during their initial flight, 1980-1993, indicating a virtual confinement of the population to the north shore. Data presented also indicate that the nesting season on Kauai may be a few weeks later than on Maui, the only locale where extensive research has been conducted on this species. On Kauai, increasing numbers of Hawaiian Petrel fledglings are being found each year. We propose that this is a result of the increasing numbers of coastal lights, and not an increase in the petrel's population. The increasing numbers found have implications for conservation of this species' population on Kauai.","RAYYAN-INCLUSION: {""Carrie An""=>""Included""}",,,,
8842,rayyan-1101990674,Include,Japanese quail thrive best under green or red light,2016.0,1,1,,1758-1559,9.0,3.0,214-214,[Anonymous],,,,,,"RAYYAN-INCLUSION: {""Carrie An""=>""Included""}",,Coturnix,,
6694,rayyan-1101988526,Include,Artificial light at night potentially alters feeding behaviour of the native southern black-backed gull (Larus dominicanus),2016.0,1,1,,0029-4470,63.0,1.0,37-39,"Pugh, Andrew R. and Pawson, Stephen M.",,,,,,"RAYYAN-INCLUSION: {""Carrie An""=>""Included""}",,Back;African Continental Ancestry Group,,
8619,rayyan-1101990451,Include,LED lights reduce seabird death toll from fishing,2018.0,1,1,,0025-326X,134.0,,228-229,[Anonymous],,,,,,"RAYYAN-INCLUSION: {""Carrie An""=>""Included""}",,,,
10080,rayyan-1101991912,Include,Interupted night-lighting with pheasants,1938.0,1,1,,0012-9658,19.0,2.0,181-187,"Bissonnette, TH and Csech, AG",,,,,,"RAYYAN-INCLUSION: {""Carrie An""=>""Included""}",,,,
590,rayyan-1101982355,Exclude,One stone two birds: novel carbon nanotube/Bi4VO8Cl photocatalyst for simultaneous organic pollutants degradation and Cr(VI) reduction,2017.0,1,1,,0944-1344,24.0,29.0,23309-23320,"Zhang, Xia and Shi, Dongyang and Fan, Jing",,,,,"In this work, visible light-responsive carbon nanotubes (CNTs)/Bi4VO8Cl composite photocatalysts have been prepared by a facile in situ hydrothermal method and characterized by various techniques. The photocatalytic properties of the photocatalysts are evaluated by the degradation of refractory azo-dye methyl orange (MO), hexavalent chromium Cr(VI), and bisphenol A (BPA) in water under visible light irradiation. It is found that the as-prepared composite with 4 wt% CNTs shows an optimal photocatalytic performance, and its photocatalytic activity is 30% higher than that of pure Bi4VO8Cl. The enhanced photocatalytic activity is ascribed to the synergetic effects induced by increased light absorption, increased adsorption efficiency for pollutant, and suppressed recombination rate of photogenerated charge carriers. Furthermore, efficient removals of Cr(VI), bisphenol A (BPA), and combined contamination of Cr(VI) and BPA over CNTs/Bi4VO8Cl composite further confirm that the degradation of organic pollutants is a photocatalytic mechanism rather than photosensitization of dye. Of particular importance is that removal efficiency of single pollutant can be promoted by the coexistence of the Cr(VI) and organics. The mechanism of synergetic promotion is discussed and attributed to the accelerated separation of charge carriers resulted from their simultaneously being captured by pollutants. Moreover, the CNTs/Bi4VO8Cl composite exhibits good stability and recycling performance in the photocatalytic degradation process. Therefore, the composite photocatalysts developed in the present work are expected to have the potential in purification of complex wastewater.","RAYYAN-INCLUSION: {""Carrie An""=>""Excluded""}",,,,
7987,rayyan-1101989819,Exclude,Plumage yellowness predicts foraging ability in the blue tit Cyanistes caeruleus,2012.0,1,1,,0024-4066,106.0,2.0,418-429,"Garcia-Navas, Vicente and Ferrer, Esperanza S. and Jose Sanz, Juan",,,,,"Carotenoid-based coloration in adult birds has been often regarded as an honest signal of individual quality. However, few studies have demonstrated a link between carotenoid display and the quantity or quality of resources provided to the offspring. The present study investigated the expression of a carotenoid-based ornament, the breast plumage yellowness of the blue tit Cyanistes caeruleus, in relation to the level of parental provisioning effort and the amount of carotenoid-rich prey provided to the young. The study was conducted in two forest types (evergreen and deciduous), which also allowed an exploration of the possible existence of habitat effects on the coloration of breeding birds. It was found that plumage colour intensity (carotenoid chroma) correlated positively with nestling provisioning rates of both males and females, supporting the good parent hypothesis. In addition, carotenoid chroma was positively related with the proportion of Lepidoptera larvae brought to the nest in both sexes. Female but not male coloration was positively linked to breeding success (proportion of fledged young). Nestling coloration did not correlate with that of their parents, nor the frequency with which they were fed. Hue and lightness of nestling's plumage correlated positively with body mass and tarsus length, respectively. The results obtained in the present study indicate that ventral plumage coloration in blue tits may advertise the ingested carotenoids (carotenoid foraging ability) and also their overall parental quality in terms of nestling provisioning rates. This suggests that plumage yellowness can be used as an indicator of foraging ability in this species. (c) 2012 The Linnean Society of London, Biological Journal of the Linnean Society, 2012, 106, 418429.",,,,,
8907,rayyan-1101990739,Exclude,Stalking the mitochondrial ATP synthase: Ina found guilty by association,2014.0,1,1,,0261-4189,33.0,15.0,1617-1618,"Stroud, David A. and Ryan, Michael T.",,,,,"In this issue, the groups of Peter Rehling and Martin van der Laan report the identification of a new protein complex that is involved in the assembly of the peripheral stalk of the yeast mitochondrial F1Fo-ATPase (Lytovchenko et al, 2014). Their work sheds new light onto the biogenesis of this fascinating and important machine.",,,,,
19,rayyan-1101981784,Exclude,Barn swallows prefer to nest at sites hidden from neighboring nests within a loose colony,2007.0,1,1,,0289-0771,25.0,2.0,117-123,"Fujita, Go and Higuchi, Hiroyoshi",,,,,"Some loosely colonial species scatter their nests within a colony. Most studies on mechanisms that generate such scattered nests within a colony have primarily focused on the measurement of distance related to the intensity of interactions among conspecific neighbors. However, these interactions can change not only with distance between nests but also with other factors. In particular, whether the nest is hidden from neighbors can strongly affect the intensity of interaction for birds that usually use sight for communication. To show the possible benefit of nesting at sites hidden from neighboring nests, we studied the nest arrangements and settlement patterns within a barn swallow colony. We tested whether the swallows prefer nesting at sites hidden from neighboring nests in cattle barns that are often used as colony sites by the swallows in Japan. We found that the sides of ceiling beams hidden from neighbors were preferred as nesting sites. A randomization test suggested that the rectangular sections occupied by swallows were not spaced out within a colony. The results suggested that the swallows preferred nesting sites hidden from their neighbors and did not space out their nests within a colony. This paper also refutes intraspecific brood parasitism as a plausible function of this behavior.","RAYYAN-INCLUSION: {""Carrie An""=>""Excluded""}",,Deglutition,,
7146,rayyan-1101988978,Exclude,Neuronal mechanism for acute mechanosensitivity in tactile-foraging waterfowl,2014.0,1,1,,0027-8424,111.0,41.0,14941-14946,"Schneider, Eve R. and Mastrotto, Marco and Laursen, Willem J. and Schulz, Vincent P. and Goodman, Jena B. and Funk, Owen H. and Gallagher, Patrick G. and Gracheva, Elena O. and Bagriantsev, Sviatoslav N.",,,,,"Relying almost exclusively on their acute sense of touch, tactile-foraging birds can feed in murky water, but the cellular mechanism is unknown. Mechanical stimuli activate specialized cutaneous end organs in the bill, innervated by trigeminal afferents. We report that trigeminal ganglia (TG) of domestic and wild tactile-foraging ducks exhibit numerical expansion of large-diameter mechanoreceptive neurons expressing the mechano-gated ion channel Piezo2. These features are not found in visually foraging birds. Moreover, in the duck, the expansion of mechanoreceptors occurs at the expense of thermosensors. Direct mechanical stimulation of duck TG neurons evokes high-amplitude depolarizing current with a low threshold of activation, high signal amplification gain, and slow kinetics of inactivation. Together, these factors contribute to efficient conversion of light mechanical stimuli into neuronal excitation. Our results reveal an evolutionary strategy to hone tactile perception in vertebrates at the level of primary afferents.",,,,,
