Unnamed: 0,key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id,losia,catharina,lorenzo,los_sat,cat_sat,enz_sat,satisfies_criteria
2083,rayyan-236652529,Concentrations of perfluorinated acids in livers of birds from Japan and Korea,2002.0,,,Chemosphere,00456535 (ISSN),49.0,3.0,225-231,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036712247&doi=10.1016%2fS0045-6535%2802%2900304-1&partnerID=40&md5=4843bce5678218bd3ad0cdd8fcb3f8f2,English,,,"Livers of birds collected from Japan and Korea (n = 83) were analyzed to determine the concentrations of perfluorooctanesulfonate (PFOS), perfluorooctanesulfonamide (FOSA), perfluorooctanoic acid (PFOA) and perfluorohexanesulfonate (PFHS). PFOS was found in the livers of 95% of the birds analyzed at concentrations greater than the limit of quantitation (LOQ) of 10 ng/g, wet weight. The greatest concentration of PFOS of 650 ng/g, wet weight, was found in the liver of a common cormorant from the Sagami River in Kanagawa Prefecture. Concentrations of PFOS in bird livers from Japan and Korea were within the ranges of values reported for those from the United States and certain European countries. PFOA and PFHS were found in 5-10% of the samples analyzed. The greatest concentrations of PFOA and PFHS in bird livers were 21 and 34 ng/g, wet weight, respectively. FOSA was found in all the samples (n = 10) of cormorants collected from the Sagami River in Japan. The greatest concentration of FOSA in cormorant liver was 215 ng/g, wet weight. There was no significant correlation between the concentrations of PFOS and FOSA in cormorants collected from the Sagami River. These results suggested that the distribution of FOSA is localized. No age-or gender-specific differences in fluorochemical concentrations could be discerned in birds. © 2002 Elsevier Science Ltd. All rights reserved.","RAYYAN-INCLUSION: {""Losia""=>""Included"", ""Catharina""=>""Included""}",,Japan;Korea;Liver,,,True,True,False,True,True,False,True
1450,rayyan-236651894,"Perfluorinated compounds in surface water and organisms from Baiyangdian Lake in North China: Source profiles, bioaccumulation and potential risk",2012.0,,,Bulletin of Environmental Contamination and Toxicology,00074861 (ISSN),89.0,3.0,519-524,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867576927&doi=10.1007%2fs00128-012-0745-1&partnerID=40&md5=7fe52bbf987a6139ce00a184a03aa2af,English,,,"The concentrations of 16 perfluorinated compounds (PFCs) were measured in surface water and organisms from Baiyangdian Lake. Perfluorooctanoic acid (PFOA), perfluorooctane sulfonic acid, and perfluorobutanoic acid (PFBA) were the major PFC species in the water at 6.8-56.8, 0.1-17.5 and 3.0-14.6 ng/L, respectively. The PFC contamination in Baiyangdian Lake was significantly impacted by the inflow from Pinghe River and Fuhe River. There was no significant correlation between the concentrations of PFCs and the trophic levels in aquatic organisms. There were no significant PFC risks in Baiyangdian Lake according to the risk assessment of PFCs in water. © Springer Science+Business Media, LLC 2012.","RAYYAN-INCLUSION: {""Losia""=>""Included"", ""Catharina""=>""Included""}",,China,,,True,True,False,True,True,False,True
2188,rayyan-236652634,"Diet Shifts Explain Temporal Trends of Pollutant Levels in Indo-Pacific Humpback Dolphins (Sousa chinensis) from the Pearl River Estuary, China",2020.0,,,ENVIRONMENTAL SCIENCE & TECHNOLOGY,"[""0013-936X"", ""1520-5851 J9 - ENVIRON SCI TECHNOL JI - Environ. Sci. Technol.""]",54.0,20.0,13110-13120,,,English,,,"We examined spatiotemporal trends of diet compositions and their relationship with pollutant accumulation levels in 46 weaning Indo-Pacific humpback dolphins (n = 46) from 2004 to 2017 in the Pearl River Estuary (PRE) based on blubber fatty acid signatures using quantitative fatty acid signature analysis in R (QFASAR). Fifty-one potential prey species were tested, among which 13 had a mean relative proportion greater than 1% in dolphin diets. Bombay duck was the predominant prey species, followed by Dussumier's thryssa and mullet, whereas other prey species were present at considerably reduced proportions in diets. The proportion of larger fishes (Bombay duck and mullet) in the diet has exhibited a significant decreasing trend in recent years, whereas the smaller fish (Dussumier's thryssa) steadily increased over the whole period, possibly due to the severe impacts of climate change and other human stressors on large fishes in estuarine waters. The proportions of Bombay duck in the diet were significantly and positively correlated with hepatic Cr levels in dolphins, whereas the temporal change in Bombay duck consumption mirrored that in the hepatic levels of several per- and polyfluoroalkyl substances, because Bombay duck was the most contaminated species among all the prey fishes.","RAYYAN-INCLUSION: {""Losia""=>""Included"", ""Catharina""=>""Included""}",,China,,,True,True,False,True,True,False,True
1779,rayyan-236652224,"Potential effects of perfluorinated compounds in common cormorants from Lake Biwa, Japan: An implication from the hepatic gene expression profiles by microarray",2008.0,,,Environmental Toxicology and Chemistry,07307268 (ISSN),27.0,11.0,2378-2386,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-56049113994&doi=10.1897%2f07-614.1&partnerID=40&md5=cb28296998ca38392569ac166e2ddec1,English,,,"Contamination levels of perfluorinated compounds (PFCs), including perfluorooctanesulfonate (PFOS), perfluorononanoic acid (PFNA), perfluorooctane sulfonamide (PFOSA), perfluorohexanesulfonate (PFHS), and perfluorooctanoic acid (PFOA), were determined in the livers of wild common cormorants (Phalacrocorax carbo) from Lake Biwa, Japan. Potential effects of PFCs alone and combined effects by complex mixture of PFCs and dioxins and related compounds (DRCs) were also assessed by gene expression profiling using a cormorant oligo array. Perfluorooctanesulfonate, PFNA, and PFOSA were detected in almost all liver samples analyzed, while concentrations of PFHS and PFOA were below the limit of quantification. The microarray data analyses revealed that hepatic PFC levels were correlated with the expression of 74 genes. Real-time reverse-transcript polymerase chain reaction data demonstrated that PFOS concentration was positively correlated with mRNA levels of glutathione peroxidase 1 and glutathione S-transferase alpha 3 and negatively correlated with levels of heat shock 70-kDa protein 8 and tumor rejection antigen 1 mRNAs. These results suggest the induction of antioxidant enzymes in response to oxidative stress caused by PFCs and the suppression of molecular chaperones, leading to reduction in protein stability. Moreover, multiple regression analyses identified seven significant models in which certain genes showed expression levels altered by accumulation of PFCs and DRCs. The regression models explained associations with cytochrome P450 1A mRNA and protein expression levels, and its catalytic activity, ethoxyresorufin-O-deethylase of both PFNA and the 2,3,7,8- tetrachlorodibenzo-p-dioxin toxic equivalent levels. Thus, the regression models suggested the potential of PFCs to enhance toxicities of DRCs. Since mixture toxicity is an urgent issue, further study is required to understand the effects of mixtures of PFCs and DRCs in wild cormorants. © 2008 SETAC.","RAYYAN-INCLUSION: {""Losia""=>""Included"", ""Catharina""=>""Included""}",,Gene Expression;Gene Expression Profiling;Transcriptome;Japan,,,True,True,False,True,True,False,True
525,rayyan-236650967,y White-Tailed Eagle (Haliaeetus albicilla) Body Feathers Document Spatiotemporal Trends of Perfluoroalkyl Substances in the Northern Environment,2019.0,,,Environmental Science and Technology,"[""0013-936X"", ""1520-5851 J9 - ENVIRON SCI TECHNOL JI - Environ. Sci. Technol.""]",53.0,21.0,12744-12753,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073245191&doi=10.1021%2facs.est.9b03514&partnerID=40&md5=1cf3db1e632813a66717d30c68c34f7c,English,,,"We reconstructed the first long-term (1968-2015) spatiotemporal trends of perfluoroalkyl substances (PFAS) using archived body feathers of white-tailed eagles (Haliaeetus albicilla) from the West Greenland (n = 31), Norwegian (n = 66), and Central Swedish Baltic coasts (n = 50). We observed significant temporal trends of perfluorooctane sulfonamide (FOSA), perfluorooctane sulfonate (PFOS), and perfluoroalkyl carboxylates (∑PFCAs) in all three subpopulations. Concentrations of FOSA and PFOS had started decreasing significantly since the mid-1990s to 2000 in the Greenland and Norwegian subpopulations, consistent with the 3M phase-out, though in sharp contrast to overall increasing trends observed in the Swedish subpopulation. Moreover, ∑PFCA concentrations significantly increased in all three subpopulations throughout the study periods. These temporal trends suggest on-going input of PFOS in the Baltic and of ∑PFCAs in all three regions. Considerable spatial variation in PFAS concentrations and profiles was observed: PFOS concentrations were significantly higher in Sweden, whereas FOSA and ∑PFCA concentrations were similar among the subpopulations. PFOS dominated the PFAS profiles in the Swedish and Norwegian subpopulations, in contrast to the domination of FOSA and ∑PFCAs in the Greenland one. Our spatiotemporal observations underline the usefulness of archived bird of prey feathers in monitoring spatiotemporal PFAS trends and urge for continued monitoring efforts in each of the studied subpopulations. Copyright © 2019 American Chemical Society.","RAYYAN-INCLUSION: {""Losia""=>""Included"", ""Catharina""=>""Included""}",,European Continental Ancestry Group,,,True,True,False,True,True,False,True
859,rayyan-236651301,Temporal Shifts in Poly- and Perfluoroalkyl Substances (PFASs) in North Atlantic Pilot Whales Indicate Large Contribution of Atmospheric Precursors,2017.0,,,Environmental Science and Technology,0013936X (ISSN),51.0,8.0,4512-4521,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019995938&doi=10.1021%2facs.est.7b00293&partnerID=40&md5=129fefbd23a7fd953812f605ca1827c3,English,,,"Poly- and perfluoroalkyl substances (PFASs) are persistent, bioaccumulative anthropogenic compounds associated with adverse health impacts on humans and wildlife. PFAS production changed in North America and Europe around the year 2000, but impacts on wildlife appear to vary across species and location. Unlike other mammal species, cetaceans lack the enzyme for transforming an important intermediate precursor (perfluorooctane sulfonamide: FOSA), into a prevalent compound in most wildlife (perfluorooctanesulfonate: PFOS). Thus, their tissue burden differentiates these two compounds while other mammals contain PFOS from both direct exposure and precursor degradation. Here we report temporal trends in 15 PFASs measured in muscle from juvenile male North Atlantic pilot whales (Globicephala melas) harvested between 1986 and 2013. FOSA accounted for a peak of 84% of the 15 PFASs around 2000 but declined to 34% in recent years. PFOS and long-chained PFCAs (C9-C13) increased significantly over the whole period (2.8% yr-1 to 8.3% yr-1), but FOSA declined by 13% yr-1 after 2006. Results from FOSA partitioning and bioaccumulation modeling forced by changes in atmospheric inputs reasonably capture magnitudes and temporal patterns in FOSA concentrations measured in pilot whales. Rapid changes in atmospheric FOSA in polar and subpolar regions around 2000 helps to explain large declines in PFOS exposure for species that metabolize FOSA, including seafood consuming human populations. This work reinforces the importance of accounting for biological exposures to PFAS precursors. © 2017 American Chemical Society.","RAYYAN-INCLUSION: {""Losia""=>""Included"", ""Catharina""=>""Included""}",,"RNA, Messenger;Polyglactin 910;Poly(ADP-ribose) Polymerases;Poly(A)-Binding Protein II;Poly(A)-Binding Proteins;Poly I-C;Poly A-U",,,True,True,False,True,True,False,True
899,rayyan-236651341,Diet and metabolic state are the main factors determining concentrations of perfluoroalkyl substances in female polar bears from Svalbard,2017.0,,,Environmental Pollution,02697491 (ISSN),229.0,,146-158,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020009658&doi=10.1016%2fj.envpol.2017.04.100&partnerID=40&md5=0d2b41801a73da72596f7441ddbc5731,English,,,"Perfluoroalkyl substances (PFASs) have been detected in organisms worldwide, including Polar Regions. The polar bear (Ursus maritimus), the top predator of Arctic marine ecosystems, accumulates high concentrations of PFASs, which may be harmful to their health. The aim of this study was to investigate which factors (habitat quality, season, year, diet, metabolic state [i.e. feeding/fasting], breeding status and age) predict PFAS concentrations in female polar bears captured on Svalbard (Norway). We analysed two perfluoroalkyl sulfonates (PFSAs: PFHxS and PFOS) and C8-C13 perfluoroalkyl carboxylates (PFCAs) in 112 plasma samples obtained in April and September 2012–2013. Nitrogen and carbon stable isotope ratios (δ15N, δ13C) in red blood cells and plasma, and fatty acid profiles in adipose tissue were used as proxies for diet. We determined habitat quality based on movement patterns, capture position and resource selection functions, which are models that predict the probability of use of a resource unit. Plasma urea to creatinine ratios were used as proxies for metabolic state (i.e. feeding or fasting state). Results were obtained from a conditional model averaging of 42 general linear mixed models. Diet was the most important predictor of PFAS concentrations. PFAS concentrations were positively related to trophic level and marine diet input. High PFAS concentrations in females feeding on the eastern part of Svalbard, where the habitat quality was higher than on the western coast, were likely related to diet and possibly to abiotic factors. Concentrations of PFSAs and C8-C10 PFCAs were higher in fasting than in feeding polar bears and PFOS was higher in females with cubs of the year than in solitary females. Our findings suggest that female polar bears that are exposed to the highest levels of PFAS are those 1) feeding on high trophic level sea ice-associated prey, 2) fasting and 3) with small cubs. © 2017 Elsevier Ltd","RAYYAN-INCLUSION: {""Losia""=>""Included"", ""Catharina""=>""Included"", ""Lorenzo""=>""Included""}",,,,,True,True,True,True,True,True,True
1640,rayyan-236652085,Perfluorinated compounds in the Antarctic region: Ocean circulation provides prolonged protection from distant sources,2010.0,,,Environmental Pollution,02697491 (ISSN),158.0,9.0,2985-2991,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77958164635&doi=10.1016%2fj.envpol.2010.05.024&partnerID=40&md5=7135249f93fb24fcb0299f07d9bbafe9,English,,,"In order to investigate the extent to which Perfluorinated Contaminants (PFCs) have permeated the Southern Ocean food web to date, a range of Antarctic, sub-Antarctic and Antarctic-migratory biota were analysed for key ionic PFCs. Based upon the geographical distribution pattern and ecology of biota with detectable vs. non-detectable PFC burdens, an evaluation of the potential contributory roles of alternative system input pathways is made. Our analytical findings, together with previous reports, reveal only the occasional occurrence of PFCs in migratory biota and vertebrate predators with foraging ranges extending into or north of the Antarctic Circumpolar Current (ACC). Geographical contamination patterns observed correspond most strongly with those expected from delivery via hydrospheric transport as governed by the unique oceanographic features of the Southern Ocean. We suggest that hydrospheric transport will form a slow, but primary, input pathway of PFCs to the Antarctic region. © 2010 Elsevier Ltd. All rights reserved.","RAYYAN-INCLUSION: {""Losia""=>""Included"", ""Catharina""=>""Included""}",,,,,True,True,False,True,True,False,True
869,rayyan-236651311,Organic contamination in tree swallow (Tachycineta bicolor) nestlings at United States and binational Great Lakes Areas of Concern,2017.0,,,Environmental Toxicology and Chemistry,07307268 (ISSN),36.0,3.0,735-748,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992449479&doi=10.1002%2fetc.3598&partnerID=40&md5=a25bc062504c0a9f0a25e10d8e34aa28,English,,,"Contaminant exposure of tree swallows, Tachycineta bicolor, nesting in 27 Areas of Concern (AOCs) in the Great Lakes basin was assessed from 2010 to 2014 to assist managers and regulators in their assessments of Great Lakes AOCs. Contaminant concentrations in nestlings from AOCs were compared with those in nestlings from nearby non-AOC sites. Polychlorinated biphenyl (PCB) and polybrominated diphenyl ether concentrations in tree swallow nestling carcasses at 30% and 33% of AOCs, respectively, were below the mean concentration for non-AOCs. Polycyclic aromatic hydrocarbon (PAH) concentrations in nestling stomach contents and perfluorinated compound concentrations in nestling plasma at 67% and 64% of AOCs, respectively, were below the mean concentration for non-AOCs. Concentrations of PCBs in nestling carcasses were elevated at some AOCs but modest compared with highly PCB-contaminated sites where reproductive effects have been documented. Concentrations of PAHs in diet were sufficiently elevated at some AOCs to elicit a measurable physiological response. Among AOCs, concentrations of the perfluorinated compound perfluorooctane sulfonate in plasma were the highest on the River Raisin (MI, USA; geometric mean 330 ng/mL) but well below an estimated toxicity reference value (1700 ng/mL). Both PAH and PCB concentrations in nestling stomach contents and PCBs in carcasses were significantly correlated with concentrations in sediment previously reported, thereby reinforcing the utility of tree swallows to assess bioavailability of sediment contamination. Environ Toxicol Chem 2017;36:735–748. Published 2016 Wiley Periodicals Inc. on behalf of SETAC. This article is a US government work and, as such, is in the public domain in the United States of America. Published 2016 Wiley Periodicals Inc. on behalf of SETAC. This article is a US government work and, as such, is in the public domain in the United States of America.","RAYYAN-INCLUSION: {""Losia""=>""Included"", ""Catharina""=>""Included""}",,Deglutition;United States;Trees,,,True,True,False,True,True,False,True
1071,rayyan-236651514,"Organohalogenated contaminants in white-tailed eagle (Haliaeetus albicilla) nestlings: An assessment of relationships to immunoglobulin levels, telomeres and oxidative stress",2016.0,,,Science of the Total Environment,00489697 (ISSN),539.0,,337-349,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941313438&doi=10.1016%2fj.scitotenv.2015.08.123&partnerID=40&md5=3ce3fd8e57221c7cbeed2975c3c97dfd,English,,,"Biomagnifying organohalogenated compounds (OHCs) may have adverse effects on the health of birds, especially marine avian top predators that accumulate high OHC loads. Contaminants may impair the humoral immunity and also influence the antioxidant enzyme activity (i.e. oxidative stress). Moreover, physical conditions and oxidative stress during development may reduce telomere lengths, one of the main mechanisms explaining cell senescence. To examine the potential effects of environmental contaminants on physiological biomarkers of health, OHCs with different 'physicochemical' properties were related to immunoglobulin Y levels (IgY; humoral immunity), superoxide dismutase enzyme (SOD) activity in blood plasma, and telomere length (measured in red blood cells) in individual 7-8weeks old nestlings (n=35) of white-tailed eagles (Haliaeetus albicilla) in the Norwegian Sub-Arctic. Different organochlorines (OCs) and perfluoroalkylated substances (PFASs) were measured in blood plasma of nestlings, demonstrating higher concentrations of the emerging contaminants (PFASs), notably perfluorooctane sulfonate (PFOS), compared to legacy OCs. There were no relationships between the contaminant loads and plasma IgY levels. Moreover, differences between years were found for telomere lengths, but this was not related to contaminants and more likely a result of different developmental conditions. However, there were significant and negative relationships between the OC loadings and the SOD activity. This suggests that some legacy OCs challenge the antioxidant capacity in nestlings of white-tailed eagles. © 2015 Elsevier B.V.","RAYYAN-INCLUSION: {""Losia""=>""Included"", ""Catharina""=>""Included"", ""Lorenzo""=>""Included""}",,Oxidative Stress;Immunoglobulins,,,True,True,True,True,True,True,True
